Regulator	Target	Relation	Relation counts
CellProcess	MedicalProcedure	GeneticChange	0
CellProcess	PhosphoSite	GeneticChange	0
CellProcess	Hyperlink	GeneticChange	0
CellProcess	Mutation	GeneticChange	0
CellProcess	RNA	GeneticChange	0
CellProcess	Site	GeneticChange	0
CellProcess	Lysine	GeneticChange	0
CellProcess	MethSite	GeneticChange	0
Organism	Protein	GeneticChange	0
Organism	SmallMol	GeneticChange	0
Organism	Complex	GeneticChange	0
Organism	FunctionalClass	GeneticChange	0
Organism	CellObject	GeneticChange	0
Organism	Disease	GeneticChange	0
Organism	Organ	GeneticChange	0
Organism	Virus	GeneticChange	0
Organism	ClinicalParameter	GeneticChange	0
Organism	CellProcess	GeneticChange	0
Organism	Organism	GeneticChange	0
Organism	Tissue	GeneticChange	0
Organism	Treatment	GeneticChange	0
Organism	CellType	GeneticChange	0
Organism	GeneticVariant	GeneticChange	0
Organism	MedicalProcedure	GeneticChange	0
Organism	PhosphoSite	GeneticChange	0
Organism	Hyperlink	GeneticChange	0
Organism	Mutation	GeneticChange	0
Organism	RNA	GeneticChange	0
Organism	Site	GeneticChange	0
Organism	Lysine	GeneticChange	0
Organism	MethSite	GeneticChange	0
Tissue	Protein	GeneticChange	0
Tissue	SmallMol	GeneticChange	0
Tissue	Complex	GeneticChange	0
Tissue	FunctionalClass	GeneticChange	0
Tissue	CellObject	GeneticChange	0
Tissue	Disease	GeneticChange	0
Tissue	Organ	GeneticChange	0
Tissue	Virus	GeneticChange	0
Tissue	ClinicalParameter	GeneticChange	0
Tissue	CellProcess	GeneticChange	0
Tissue	Organism	GeneticChange	0
Tissue	Tissue	GeneticChange	0
Tissue	Treatment	GeneticChange	0
Tissue	CellType	GeneticChange	0
Tissue	GeneticVariant	GeneticChange	0
Tissue	MedicalProcedure	GeneticChange	0
Tissue	PhosphoSite	GeneticChange	0
Tissue	Hyperlink	GeneticChange	0
Tissue	Mutation	GeneticChange	0
Tissue	RNA	GeneticChange	0
Tissue	Site	GeneticChange	0
Tissue	Lysine	GeneticChange	0
Tissue	MethSite	GeneticChange	0
Treatment	Protein	GeneticChange	0
Treatment	SmallMol	GeneticChange	0
Treatment	Complex	GeneticChange	0
Treatment	FunctionalClass	GeneticChange	0
Treatment	CellObject	GeneticChange	0
Treatment	Disease	GeneticChange	0
Treatment	Organ	GeneticChange	0
Treatment	Virus	GeneticChange	0
Treatment	ClinicalParameter	GeneticChange	0
Treatment	CellProcess	GeneticChange	0
Treatment	Organism	GeneticChange	0
Treatment	Tissue	GeneticChange	0
Treatment	Treatment	GeneticChange	0
Treatment	CellType	GeneticChange	0
Treatment	GeneticVariant	GeneticChange	0
Treatment	MedicalProcedure	GeneticChange	0
Treatment	PhosphoSite	GeneticChange	0
Treatment	Hyperlink	GeneticChange	0
Treatment	Mutation	GeneticChange	0
Treatment	RNA	GeneticChange	0
Treatment	Site	GeneticChange	0
Treatment	Lysine	GeneticChange	0
Treatment	MethSite	GeneticChange	0
CellType	Protein	GeneticChange	0
CellType	SmallMol	GeneticChange	0
CellType	Complex	GeneticChange	0
CellType	FunctionalClass	GeneticChange	0
CellType	CellObject	GeneticChange	0
CellType	Disease	GeneticChange	0
CellType	Organ	GeneticChange	0
CellType	Virus	GeneticChange	0
CellType	ClinicalParameter	GeneticChange	0
CellType	CellProcess	GeneticChange	0
CellType	Organism	GeneticChange	0
CellType	Tissue	GeneticChange	0
CellType	Treatment	GeneticChange	0
CellType	CellType	GeneticChange	0
CellType	GeneticVariant	GeneticChange	0
CellType	MedicalProcedure	GeneticChange	0
CellType	PhosphoSite	GeneticChange	0
CellType	Hyperlink	GeneticChange	0
CellType	Mutation	GeneticChange	0
CellType	RNA	GeneticChange	0
CellType	Site	GeneticChange	0
CellType	Lysine	GeneticChange	0
CellType	MethSite	GeneticChange	0
GeneticVariant	Protein	GeneticChange	126904
GeneticVariant	SmallMol	GeneticChange	0
GeneticVariant	Complex	GeneticChange	0
GeneticVariant	FunctionalClass	GeneticChange	0
GeneticVariant	CellObject	GeneticChange	0
GeneticVariant	Disease	GeneticChange	0
GeneticVariant	Organ	GeneticChange	0
GeneticVariant	Virus	GeneticChange	0
GeneticVariant	ClinicalParameter	GeneticChange	0
GeneticVariant	CellProcess	GeneticChange	0
GeneticVariant	Organism	GeneticChange	0
GeneticVariant	Tissue	GeneticChange	0
GeneticVariant	Treatment	GeneticChange	0
GeneticVariant	CellType	GeneticChange	0
GeneticVariant	GeneticVariant	GeneticChange	0
GeneticVariant	MedicalProcedure	GeneticChange	0
GeneticVariant	PhosphoSite	GeneticChange	0
GeneticVariant	Hyperlink	GeneticChange	0
GeneticVariant	Mutation	GeneticChange	0
GeneticVariant	RNA	GeneticChange	0
GeneticVariant	Site	GeneticChange	0
GeneticVariant	Lysine	GeneticChange	0
GeneticVariant	MethSite	GeneticChange	0
MedicalProcedure	Protein	GeneticChange	0
MedicalProcedure	SmallMol	GeneticChange	0
MedicalProcedure	Complex	GeneticChange	0
MedicalProcedure	FunctionalClass	GeneticChange	0
MedicalProcedure	CellObject	GeneticChange	0
MedicalProcedure	Disease	GeneticChange	0
MedicalProcedure	Organ	GeneticChange	0
MedicalProcedure	Virus	GeneticChange	0
MedicalProcedure	ClinicalParameter	GeneticChange	0
MedicalProcedure	CellProcess	GeneticChange	0
MedicalProcedure	Organism	GeneticChange	0
MedicalProcedure	Tissue	GeneticChange	0
MedicalProcedure	Treatment	GeneticChange	0
MedicalProcedure	CellType	GeneticChange	0
MedicalProcedure	GeneticVariant	GeneticChange	0
MedicalProcedure	MedicalProcedure	GeneticChange	0
MedicalProcedure	PhosphoSite	GeneticChange	0
MedicalProcedure	Hyperlink	GeneticChange	0
MedicalProcedure	Mutation	GeneticChange	0
MedicalProcedure	RNA	GeneticChange	0
MedicalProcedure	Site	GeneticChange	0
MedicalProcedure	Lysine	GeneticChange	0
MedicalProcedure	MethSite	GeneticChange	0
PhosphoSite	Protein	GeneticChange	0
PhosphoSite	SmallMol	GeneticChange	0
PhosphoSite	Complex	GeneticChange	0
PhosphoSite	FunctionalClass	GeneticChange	0
PhosphoSite	CellObject	GeneticChange	0
PhosphoSite	Disease	GeneticChange	0
PhosphoSite	Organ	GeneticChange	0
